check,logic,IN,TD,,T,#N/A,BROKER,Ticker,EXPECTED_REPORT_DT,NAME,CLASSIFICATION_DESCRIPTION,BICS_LEVEL_3_INDUSTRY_NAME,VOLUME_AVG_6M,LAST_PRICE,HIGH,거래금액,VOLUME,volume-multiple,RT_PX_CHG_PCT_1D,CHG_PCT_5D,H,VOLATILITY_30D,PX_YEST_HIGH,PX_YEST_LOW,Qty,평가금액,CRNCY,Side,FX,TT,LOCAL1,LOCAL2,cost,RETURN,BROKER,Instruction_1,Account,Instruction,Account_1,,
,,,#N/A,#N/A,7470 ,-0.8%,IN,6971 JP Equity,2023-10-31,KYOCERA CORP,Electronics Components,Technology Hardware,"1,110,873 ",7527.00 ,#N/A,758 ,"223,500 ",0.2 ,-0.08 ,3.59 ,-0.33 ,1.3 ,"7,570.00 ","7,490.00 ","3,000 ","203,953,850 ",JPY,SELL,9.0 ,#N/A,#N/A,#N/A,"7,484.00 ",0.6%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,8156,8331,8156 ,-2.9%,IN,6981 JP Equity,2023-10-31,MURATA MANUFACTURING CO LTD,Electronics Components,Technology Hardware,"1,789,890 ",8403.00 ,1 ,"1,358 ","920,400 ",0.5 ,0.86 ,4.50 ,-0.14 ,1.5 ,"8,346.00 ","8,171.00 ","2,700 ","204,921,188 ",JPY,SELL,9.0 ,8156,8331,8156,"8,148.00 ",3.1%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,#N/A,#N/A,2329 ,4.1%,IN,5411 JP Equity,2023-11-02,JFE HOLDINGS INC,Steel Producers,Steel,"5,110,020 ",2238.00 ,#N/A,"1,038 ","24,350,100 ",4.8 ,-7.76 ,-1.58 ,-0.86 ,2.2 ,"2,437.00 ","2,368.50 ","10,000 ","202,138,398 ",JPY,SELL,9.0 ,#N/A,#N/A,#N/A,"2,301.00 ",-2.7%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,#N/A,#N/A,4209 ,-0.9%,IN,6301 JP Equity,2023-10-31,KOMATSU LTD,Construction Machinery,Machinery,"3,398,879 ",4248.00 ,#N/A,"1,309 ","1,072,600 ",0.3 ,-0.05 ,4.18 ,-0.63 ,1.3 ,"4,266.00 ","4,188.00 ","5,500 ","211,025,984 ",JPY,SELL,9.0 ,#N/A,#N/A,#N/A,"4,129.00 ",2.9%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,#N/A,#N/A,5712 ,-1.7%,IN,8113 JP Equity,2023-11-07,UNICHARM CORP,Sanitary Paper Products,Household Products,"1,095,218 ",5808.00 ,#N/A,564 ,"366,300 ",0.3 ,-1.91 ,-0.77 ,-2.03 ,1.8 ,"5,876.00 ","5,785.00 ","4,000 ","209,833,747 ",JPY,SELL,9.0 ,#N/A,#N/A,#N/A,"5,769.00 ",0.7%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,#N/A,#N/A,2938 ,-3.6%,IN,1928 JP Equity,2023-09-07,SEKISUI HOUSE LTD,Homebuilding,Home Construction,"2,724,693 ",3046.00 ,#N/A,749 ,"767,900 ",0.3 ,-0.33 ,3.64 ,-0.62 ,0.9 ,"3,054.00 ","3,002.00 ","8,000 ","220,094,213 ",JPY,SELL,9.0 ,#N/A,#N/A,#N/A,"2,955.50 ",3.1%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,#N/A,#N/A,6079 ,-2.8%,IN,9697 JP Equity,2023-10-26,CAPCOM CO LTD,Mobile & Online Games,Entertainment Content,"1,021,801 ",6255.00 ,#N/A,573 ,"280,400 ",0.3 ,-1.26 ,2.69 ,-1.57 ,3.3 ,"6,289.00 ","6,191.00 ","3,500 ","197,735,249 ",JPY,SELL,9.0 ,#N/A,#N/A,#N/A,"6,159.00 ",1.6%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,16370,16465,16370 ,-1.8%,IN,7741 JP Equity,2023-10-27,HOYA CORP,Ophthalmic Goods,Medical Equipment & Devices,"1,164,812 ",16665.00 ,1 ,"1,753 ","491,700 ",0.4 ,1.37 ,4.68 ,-0.42 ,1.8 ,"16,485.00 ","16,240.00 ","1,500 ","225,779,920 ",JPY,SELL,9.0 ,16370,16370,16465,"16,135.00 ",3.3%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,27830,28745,27830 ,-0.2%,IN,6146 JP Equity,2023-10-20,DISCO CORP,Semiconductor Mfg,Semiconductors,"1,047,178 ",27885.00 ,1 ,"2,637 ","617,300 ",0.6 ,-0.29 ,1.60 ,-0.73 ,2.7 ,"28,130.00 ","27,645.00 ",800 ,"201,488,087 ",JPY,SELL,9.0 ,27830,27830,28745,"28,530.00 ",-2.3%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,#N/A,#N/A,426 ,-4.2%,IN,4689 JP Equity,2023-11-02,Z HOLDINGS CORP,Adv Rev - Internet Portals,Internet Media & Services,"16,706,530 ",444.20 ,#N/A,666 ,"7,139,600 ",0.4 ,-0.81 ,5.68 ,-1.85 ,2.8 ,447.40 ,439.80 ,"50,000 ","200,602,941 ",JPY,SELL,9.0 ,#N/A,#N/A,#N/A,431.90 ,2.8%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,#N/A,#N/A,16930 ,2.6%,IN,6526 JP Equity,2023-10-27,SOCIONEXT INC,Semiconductor Devices,Semiconductors,"3,178,889 ",16500.00 ,#N/A,"4,726 ","2,599,700 ",0.8 ,-5.18 ,-2.78 ,-1.61 ,4.0 ,"17,670.00 ","17,340.00 ","1,200 ","178,835,580 ",JPY,SELL,9.0 ,#N/A,#N/A,#N/A,"17,950.00 ",-8.1%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,5240,5321,5240 ,-2.4%,IN,7936 JP Equity,2023-11-10,ASICS CORP,Apparel Design,Apparel & Textile Products,"1,076,192 ",5368.00 ,1 ,522 ,"463,700 ",0.4 ,0.62 ,3.89 ,-0.28 ,2.9 ,"5,340.00 ","5,166.00 ","4,400 ","213,330,976 ",JPY,SELL,9.0 ,5240,5240,5321,"5,300.00 ",1.3%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,6974,7569,6974 ,-7.6%,IN,8058 JP Equity,2023-11-08,MITSUBISHI CORP,Food & Beverage Wholesalers,Wholesale - Consumer Staples,"6,983,137 ",7549.00 ,-1 ,"4,761 ","4,358,900 ",0.6 ,-0.26 ,8.57 ,-0.66 ,1.6 ,"7,569.00 ","7,321.00 ","3,000 ","204,549,969 ",JPY,SELL,9.0 ,6974,7569,6974,"7,304.00 ",3.4%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,10085,10250,10085 ,-1.9%,IN,6988 JP Equity,2023-10-26,NITTO DENKO CORP,Specialty Chemicals,Chemicals,"654,866 ",10280.00 ,1 ,608 ,"124,800 ",0.2 ,0.39 ,4.77 ,-0.29 ,1.6 ,"10,280.00 ","10,110.00 ","2,300 ","213,554,972 ",JPY,SELL,9.0 ,10085,10250,10085,"10,115.00 ",1.6%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,7824,7826,7824 ,-0.4%,IN,6701 JP Equity,2023-10-27,NEC CORP,IT Services,Technology Services,"1,135,332 ",7852.00 ,1 ,805 ,"610,800 ",0.5 ,0.03 ,4.00 ,-0.91 ,1.5 ,"7,850.00 ","7,778.00 ","2,800 ","198,576,138 ",JPY,SELL,9.0 ,7824,7824,7826,"7,802.00 ",0.6%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,8784,8990,8784 ,-2.1%,IN,8015 JP Equity,2023-10-27,TOYOTA TSUSHO CORP,Metals & Ore Whslrs & Traders,Metals & Mining,"815,079 ",8970.00 ,-1 ,660 ,"260,400 ",0.3 ,-0.22 ,5.10 ,-0.98 ,2.5 ,"8,990.00 ","8,830.00 ","2,700 ","218,748,430 ",JPY,SELL,9.0 ,8784,8990,8784,"8,844.00 ",1.4%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,10160,10350,10160 ,-0.7%,IN,9735 JP Equity,2023-11-10,SECOM CO LTD,Security Services,Commercial Support Services,"660,557 ",10230.00 ,1 ,610 ,"114,700 ",0.2 ,-0.63 ,0.29 ,-0.82 ,1.9 ,"10,350.00 ","10,155.00 ","2,200 ","203,276,443 ",JPY,SELL,9.0 ,10160,10350,10160,"10,240.00 ",-0.1%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,1 ,22585,22810,22585 ,0.4%,IN,6920 JP Equity,2023-10-31,LASERTEC CORP,Front End Capital Equipment,Semiconductors,"10,009,050 ",22505.00 ,-1 ,"20,345 ","10,520,600 ",1.1 ,-0.42 ,1.33 ,-3.54 ,2.8 ,"23,025.00 ","22,505.00 ","1,000 ","203,267,411 ",JPY,SELL,9.0 ,22585,22585,22810,"23,255.00 ",-3.2%,IN,VOL_10%,NHMS02 (MS_VJP),VOL_10%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-0.20 ,,,,,,," 5,685,561,533 ",,,,,,,,"192,385,536 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,kospi2 index,,KOSPI 200 INDEX,,,"132,529,401 ",340.26 ,,,"55,593 ",,-0.22 ,1.91 ,-0.35 ,0.9 ,341.02 ,337.60 ,,0 ,KRW,,1.0 ,#N/A,#N/A,#N/A,,,0,TWAP,,TWAP,,,
,,,64600,,70800 ,1.0%,IN,091990 KS Equity,2023-11-13,CELLTRION HEALTHCARE CO LTD,Generic Pharma,Biotech & Pharma,"1,100,858 ",70100.00 ,"65,600.00 ",716 ,"195,207 ",0.2 ,0.00 ,-2.70 ,-0.91 ,3.0 ,"65,500.00 ","64,200.00 ","3,000 ","210,300,000 ",KRW,SELL,1.0 ,64600,64600,66900,69800,0.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
